timestamp,ax,ay,az,gx,gy,gz,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_ax,gt_ay,gt_az
0.0,0.02414151239263294,0.041753501811152074,9.808706373086041,0.003181324457158381,-0.002112497762386592,-0.00505713805933598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0
0.01,-0.015940323327182843,0.03339966050760765,9.81980708518805,0.007897970844337618,0.0048477465696745905,-0.00017698734395637389,4.319999300991806e-09,2.2499995782077065e-06,0.0,1.2959996500860884e-06,0.00044999983125001893,0.0,0.00025919986003202265,0.044999949375009486,0.0
0.02,0.038031934754450436,0.060921106282378776,9.780777321677075,-0.003343956000735742,-0.0021632508230153068,-0.006611829373796552,3.455997760540286e-08,8.999993249991789e-06,0.0,5.183994401303238e-06,0.0008999986500006075,0.0,0.0005183988802567256,0.04499979750015187,0.0
0.03,0.04399453771260592,0.05320153969812065,9.776367393148991,-0.00272726578264446,0.0017748497625168771,-0.0033967820374181737,1.1663982994042366e-07,2.0249965828167404e-05,0.0,1.1663971656528105e-05,0.0013499954437546132,0.0,0.0007775962208695098,0.04499954437576886,0.0
0.04,-0.04249426461754387,-0.05457548602086771,9.823468933470139,-0.0010443338293630517,-0.0006270222061726499,-0.0009809625166139553,2.7647928336343996e-07,3.599989200009368e-05,0.0,2.0735910420643934e-05,0.00179998920001944,0.0,0.001036791042071219,0.044999190002429995,0.0
0.05,-0.022769402701798686,0.051356000513786304,9.79526658298055,0.001456079606584447,0.00022223364429548243,-0.0018094380194453156,5.399978130066208e-07,5.6249736328561895e-05,0.0,3.239978130062937e-05,0.002249978906309326,0.0,0.0012959825040708586,0.044998734380932603,0.0
0.06,0.020390381862106878,0.004893795227179327,9.774424648489791,0.0004850888381142761,0.00046518405305486096,0.003994518572164548,9.33114558065995e-07,8.099945325157343e-05,0.0,4.665554650546966e-05,0.002699963550147622,0.0,0.0015551697670883186,0.04499817751230184,0.0
0.07,0.007327074221049626,-0.007654342845670313,9.846960238769421,0.003021539939835453,-0.002228533784157393,-0.0032691689563470925,1.4817482378373659e-06,0.00011024898708189568,0.0,6.35031598465119e-05,0.0031499421190690695,0.0,0.001814351991357094,0.044997519397790654,0.0
0.08,0.016569493611998342,0.0293425577276729,9.799046159812187,-0.005625932711075711,-0.0061481075643973395,-0.011869952301857667,2.211817067748756e-06,0.00014399827200839432,0.0,8.294256673755385e-05,0.003599913600622078,0.0,0.0020735283371270045,0.04499676003887981,0.0
0.09,-0.008258619862540485,0.047325032708178214,9.852494348115961,0.0019842684464827453,0.0038306587278685174,-0.007888930154266206,3.149238675406729e-06,0.0001822472320949231,0.0,0.00010497370419493279,0.004049876982371003,0.0,0.0023326979646669166,0.044995899437277866,0.0
0.1,0.04397379928015232,-0.01422710071368357,9.818854123733283,-0.0037110769011282703,0.007967733960960278,0.0005108193265439553,4.319930016566387e-06,0.0002249957812816561,0.0,0.00012959650083779194,0.004499831251898427,0.0,0.0025918600342674635,0.04499493759492116,0.0
0.11,0.04118477176911221,0.056131167025700396,9.82684276586166,-0.0007166695102778929,0.008296077049870117,-0.002274136133511388,5.749807291136055e-06,0.0002722438233841995,0.0,0.00015681087688825814,0.004949775396807432,0.0,0.0028510137062437674,0.04499387451397385,0.0
0.12,0.020091079067774638,0.05789287562277587,9.811655007617095,0.008540068136281031,-0.002766349555339892,-0.005463514169713101,7.464785859362388e-06,0.0003239912520944799,0.0,0.00018661674417170816,0.0053997084047238825,0.0,0.0031101581409381566,0.04499271019682787,0.0
0.13,0.05218652870776388,0.03640073053508786,9.738345132663628,-0.006991214043830043,-0.0036658537898533582,0.010572058930483618,9.490780157703216e-06,0.0003802379509807441,0.0,0.00021901400611730183,0.005849629263298702,0.0,0.0033692924987228905,0.044991444646102934,0.0
0.14,0.032653696207564246,0.008961368957835052,9.783896405268388,-0.0013973373421968533,-0.0027714122391766373,0.004983503668712731,1.1853703614950195e-05,0.00044098379348822547,0.0,0.0002540025577578042,0.0062995369602101454,0.0,0.0036284159400028757,0.04499007786464651,0.0
0.15,-0.006891246261278759,0.005607269729855126,9.814228716208438,-0.006373228861553124,-0.0008791870107189575,0.0006075604800369326,1.4579468568212683e-05,0.0005062286429384777,0.0,0.000291582285730474,0.006749430483166085,0.0,0.003887527625218389,0.044988609855533886,0.0
